Name,Verdict,Reason,DetectedBrand,AuthenticityReview
Pandora Sparkling Heart Ring,DROP,non-watch / no product signal,,
Ball Bypass Bracelet,DROP,non-watch / no product signal,,
Ball Hook Earrings,DROP,non-watch / no product signal,,
Bar Earrings,DROP,non-watch / no product signal,,
Diamond Hoop Single-row Bangle,DROP,demo/junk category,Casio,
Diamond Vine Climber Earrings,DROP,demo/junk category,Casio,
Diamond Vine Ring in Platinum,DROP,non-watch / no product signal,,
Diamonds by the Yard Bracelet,DROP,non-watch / no product signal,,
Makers Slice Ring,DROP,non-watch / no product signal,,
Layer Cake Necklace Set,DROP,demo/junk category,Casio,
Flower Earring Stacking Set,DROP,demo/junk category,Casio,
Necklace Stacking Set,DROP,non-watch / no product signal,,
Nesting Narrow Band Ring,DROP,non-watch / no product signal,,
Olive Leaf Band Ring,DROP,demo/junk category,Casio,
Olive Leaf Pendant,DROP,non-watch / no product signal,,
Olive Leaf Earrings,DROP,demo/junk category,Casio,
T1 Circle Pendant,DROP,non-watch / no product signal,,
Starfish Brooch,DROP,demo/junk category,Casio,
Forever Love Flower,DROP,demo/junk category,,
Breath of Spring Bouquet,DROP,demo/junk category,,
Pretty Pink Rose,DROP,demo/junk category,,
Summer Bouquet,DROP,demo/junk category,,
Foxglove Flower,DROP,demo/junk category,,
Spring Snowflake,DROP,demo/junk category,,
Spring breath flower,DROP,demo/junk category,,
Conubia mollis flower,DROP,demo/junk category,,
Orci laore flower,DROP,demo/junk category,,
Floral Paste Flower,DROP,demo/junk category,,
Milky teddy bear,DROP,demo/junk category,,
Scarf stuffed dog,DROP,demo/junk category,,
Knitted wool doll,DROP,demo/junk category,,
White knitted teddy bear,DROP,demo/junk category,,
Brown teddy bear,DROP,demo/junk category,,
Pink bow teddy bear,DROP,demo/junk category,,
Forever Love Teddy,DROP,demo/junk category,,
Teddy bear pajamas,DROP,demo/junk category,,
Gray stuffed rabbit,DROP,demo/junk category,,
Pink bunny,DROP,demo/junk category,,
Sheep stuffed with roses,DROP,demo/junk category,,
Brown stuffed dog,DROP,demo/junk category,,
Pink Love teddy bear,DROP,demo/junk category,,
Gentleman teddy bear,DROP,demo/junk category,,
Reverse Withdrawal Payment,DROP,non-watch / no product signal,,
Pink bow teddy light,DROP,demo/junk category,,
Love Teddy Pink,DROP,demo/junk category,,
Milky bear Vendor,DROP,demo/junk category,,
Pink bunny Dummy,DROP,demo/junk category,,
Strawberry cream cake,DROP,demo/junk category,,
Chocolate covered cake,DROP,demo/junk category,,
Double layer fruit cake,DROP,demo/junk category,,
Four-layer fruit cake,DROP,demo/junk category,,
Galaxy shaped cake,DROP,demo/junk category,,
Cherry cream cake,DROP,demo/junk category,,
Four-layer chocolate cake,DROP,demo/junk category,,
Passion fruit mousse,DROP,demo/junk category,,
Hawaii Mousse cake,DROP,demo/junk category,,
Black-eyed Susan,DROP,demo/junk category,,
Desert Marigold,DROP,demo/junk category,,
