ID,Name,Brand,Category,Price,Currency,In stock,Images,Description chars,Description status,Duplicate group,Recommendation,Source URL
3725,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Set mehrfarbig,Mitsubishi Heavy,Klimaanlage,1850.00,EUR,True,8,2492,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-set-mehrfarbig/
3715,Mitsubishi Heavy Klimaanlage SRK-ZSX-WF Wandgerät Multisplit Set mit 3 Innengeräten mehrfarbig,Mitsubishi Heavy,Klimaanlage,2000.00,EUR,True,9,2220,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zsx-wf-wandgeraet-multisplit-set-mit-3-innengeraeten-mehrfarbig/
3705,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Multisplit Set mit 3 Innengeräten mehrfarbig,Mitsubishi Heavy,Klimaanlage,2850.00,EUR,True,6,2327,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-multisplit-set-mit-3-innengeraeten-mehrfarbig/
3695,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Multisplit Set mit 2 Innengeräten mehrfarbig,Mitsubishi Heavy,Klimaanlage,1850.00,EUR,True,9,2258,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-multisplit-set-mit-2-innengeraeten-mehrfarbig/
3688,"Mitsubishi Heavy Klimaanlage SRK-ZSX-WF Wandgerät Multisplit Set mit 2 Innengeräten 2 x 3,5 kW Titan",Mitsubishi Heavy,Klimaanlage,3000.00,EUR,True,6,2694,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zsx-wf-wandgeraet-multisplit-set-mit-2-innengeraeten-2-x-35-kw-titan/
3673,"Mitsubishi Heavy Set Tower 7,7 kW – ECD91 + FDC71VNX – R410A Klimaanlage",Mitsubishi Heavy,Klimaanlage,7500.00,EUR,True,14,2261,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/mitsubishi-heavy-set-tower-77-kw-ecd91-fdc71vnx-r410a-klimaanlage/
3670,Mitsubishi Electric 12000 BTU Klimaanlage Inverter R-32 WLAN optional | MFZ-KT35,Mitsubishi Electric,Klimaanlage,1350.00,EUR,True,2,1577,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/mitsubishi-electric-12000-btu-klimaanlage-inverter-r-32-wlan-optional-mfz-kt35/
3666,Daikin Mono Split 21000 Btu FDXM60F9 RZAG60B Klimaanlagen 6.0 kW Niedrige Prävalenz FDXM-F9 Sky Air Alpha A+ A Kanal,Daikin,Klimaanlage,2800.00,EUR,True,2,5673,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/daikin-mono-split-21000-btu-fdxm60f9-rzag60b-klimaanlagen-6-0-kw-niedrige-praevalenz-fdxm-f9-sky-air-alpha-a-a-kanal/
3663,Daikin Mono Split 21000 Btu FFA60A9 RZAG60B Klimaanlagen 6.0 kW 4 vie FFA-A Sky Air Alpha A+ A+ Kassette,Daikin,Klimaanlage,3000.00,EUR,True,2,7352,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/daikin-mono-split-21000-btu-ffa60a9-rzag60b-klimaanlagen-6-0-kw-4-vie-ffa-a-sky-air-alpha-a-a-kassette/
3660,Daikin Mono Split 12000 Btu FHA35A9 RZAG35B Klimaanlagen 3.5 kW FHA-A9 Sky Air Alpha A++ A+ Decke,Daikin,Klimaanlage,2250.00,EUR,True,2,2158,unique,,"Spot-check copy is original + accurate, then submit",https://containersolutionscs.de/produkt/daikin-mono-split-12000-btu-fha35a9-rzag35b-klimaanlagen-3-5-kw-fha-a9-sky-air-alpha-a-a-decke/
