platform,source_url,product_id,handle,url,title,brand,product_type,tags,variant_id,variant_title,sku,price,compare_at_price,currency,options,available,image
woocommerce,https://containersolutionscs.de,3725,mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-set-mehrfarbig,https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-set-mehrfarbig/,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Set mehrfarbig,,Klimaanlage,,3725,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Set mehrfarbig,CL3ST26118,1850.00,1850.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/klimaanlage-mitsubishi-heavy-srk-zs-wf-wandgeraet-set.webp
woocommerce,https://containersolutionscs.de,3715,mitsubishi-heavy-klimaanlage-srk-zsx-wf-wandgeraet-multisplit-set-mit-3-innengeraeten-mehrfarbig,https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zsx-wf-wandgeraet-multisplit-set-mit-3-innengeraeten-mehrfarbig/,Mitsubishi Heavy Klimaanlage SRK-ZSX-WF Wandgerät Multisplit Set mit 3 Innengeräten mehrfarbig,,Klimaanlage,,3715,Mitsubishi Heavy Klimaanlage SRK-ZSX-WF Wandgerät Multisplit Set mit 3 Innengeräten mehrfarbig,CL3ST26117,2000.00,2000.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/klimaanlage-mitsubishi-heavy-srk-zsx-wf-triplesplit-wandgeraet-set.webp
woocommerce,https://containersolutionscs.de,3705,mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-multisplit-set-mit-3-innengeraeten-mehrfarbig,https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-multisplit-set-mit-3-innengeraeten-mehrfarbig/,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Multisplit Set mit 3 Innengeräten mehrfarbig,,Klimaanlage,,3705,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Multisplit Set mit 3 Innengeräten mehrfarbig,CL3ST26116,2850.00,2850.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/klimaanlage-mitsubishi-heavy-srk-zs-wf-triplesplit-wandgeraet-set-1.webp
woocommerce,https://containersolutionscs.de,3695,mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-multisplit-set-mit-2-innengeraeten-mehrfarbig,https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zs-wf-wandgeraet-multisplit-set-mit-2-innengeraeten-mehrfarbig/,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Multisplit Set mit 2 Innengeräten mehrfarbig,,Klimaanlage,,3695,Mitsubishi Heavy Klimaanlage SRK-ZS-WF Wandgerät Multisplit Set mit 2 Innengeräten mehrfarbig,CL3ST26115,1850.00,1850.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/klimaanlage-mitsubishi-heavy-srk-zs-wf-multisplit-wandgeraet-set-1.webp
woocommerce,https://containersolutionscs.de,3688,mitsubishi-heavy-klimaanlage-srk-zsx-wf-wandgeraet-multisplit-set-mit-2-innengeraeten-2-x-35-kw-titan,https://containersolutionscs.de/produkt/mitsubishi-heavy-klimaanlage-srk-zsx-wf-wandgeraet-multisplit-set-mit-2-innengeraeten-2-x-35-kw-titan/,"Mitsubishi Heavy Klimaanlage SRK-ZSX-WF Wandgerät Multisplit Set mit 2 Innengeräten 2 x 3,5 kW Titan",,Klimaanlage,,3688,"Mitsubishi Heavy Klimaanlage SRK-ZSX-WF Wandgerät Multisplit Set mit 2 Innengeräten 2 x 3,5 kW Titan",CL3ST26114,3000.00,3000.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/klimaanlage-mitsubishi-heavy-srk-zsx-wf-multisplit-wandgeraet-set-2x35kw-titan.webp
woocommerce,https://containersolutionscs.de,3673,mitsubishi-heavy-set-tower-77-kw-ecd91-fdc71vnx-r410a-klimaanlage,https://containersolutionscs.de/produkt/mitsubishi-heavy-set-tower-77-kw-ecd91-fdc71vnx-r410a-klimaanlage/,"Mitsubishi Heavy Set Tower 7,7 kW – ECD91 + FDC71VNX – R410A Klimaanlage",,Klimaanlage,,3673,"Mitsubishi Heavy Set Tower 7,7 kW – ECD91 + FDC71VNX – R410A Klimaanlage",CL3ST26113,7500.00,7500.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/DSC03662TlsmhlwljoMkL.jpg
woocommerce,https://containersolutionscs.de,3670,mitsubishi-electric-12000-btu-klimaanlage-inverter-r-32-wlan-optional-mfz-kt35,https://containersolutionscs.de/produkt/mitsubishi-electric-12000-btu-klimaanlage-inverter-r-32-wlan-optional-mfz-kt35/,Mitsubishi Electric 12000 BTU Klimaanlage Inverter R-32 WLAN optional | MFZ-KT35,,Klimaanlage,,3670,Mitsubishi Electric 12000 BTU Klimaanlage Inverter R-32 WLAN optional | MFZ-KT35,CL3ST26112,1350.00,1350.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/WhatsApp-Image-2026-07-15-at-02.28.35.jpeg
woocommerce,https://containersolutionscs.de,3666,daikin-mono-split-21000-btu-fdxm60f9-rzag60b-klimaanlagen-6-0-kw-niedrige-praevalenz-fdxm-f9-sky-air-alpha-a-a-kanal,https://containersolutionscs.de/produkt/daikin-mono-split-21000-btu-fdxm60f9-rzag60b-klimaanlagen-6-0-kw-niedrige-praevalenz-fdxm-f9-sky-air-alpha-a-a-kanal/,Daikin Mono Split 21000 Btu FDXM60F9 RZAG60B Klimaanlagen 6.0 kW Niedrige Prävalenz FDXM-F9 Sky Air Alpha A+ A Kanal,,Klimaanlage,,3666,Daikin Mono Split 21000 Btu FDXM60F9 RZAG60B Klimaanlagen 6.0 kW Niedrige Prävalenz FDXM-F9 Sky Air Alpha A+ A Kanal,CL3ST26111,2800.00,2800.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/daikin-mono-split-21000-btu-fdxm60f9-rzag60b-klimaanlagen-60-kw-niedrige-pravalenz-fdxm-f9-sky-air-alpha-a-a-kanal-1.webp
woocommerce,https://containersolutionscs.de,3663,daikin-mono-split-21000-btu-ffa60a9-rzag60b-klimaanlagen-6-0-kw-4-vie-ffa-a-sky-air-alpha-a-a-kassette,https://containersolutionscs.de/produkt/daikin-mono-split-21000-btu-ffa60a9-rzag60b-klimaanlagen-6-0-kw-4-vie-ffa-a-sky-air-alpha-a-a-kassette/,Daikin Mono Split 21000 Btu FFA60A9 RZAG60B Klimaanlagen 6.0 kW 4 vie FFA-A Sky Air Alpha A+ A+ Kassette,,Klimaanlage,,3663,Daikin Mono Split 21000 Btu FFA60A9 RZAG60B Klimaanlagen 6.0 kW 4 vie FFA-A Sky Air Alpha A+ A+ Kassette,CL3ST26110,3000.00,3000.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/daikin-mono-split-21000-btu-ffa60a9-rzag60b-klimaanlagen-60-kw-4-vie-ffa-a-sky-air-alpha-a-a-kassette.webp
woocommerce,https://containersolutionscs.de,3660,daikin-mono-split-12000-btu-fha35a9-rzag35b-klimaanlagen-3-5-kw-fha-a9-sky-air-alpha-a-a-decke,https://containersolutionscs.de/produkt/daikin-mono-split-12000-btu-fha35a9-rzag35b-klimaanlagen-3-5-kw-fha-a9-sky-air-alpha-a-a-decke/,Daikin Mono Split 12000 Btu FHA35A9 RZAG35B Klimaanlagen 3.5 kW FHA-A9 Sky Air Alpha A++ A+ Decke,,Klimaanlage,,3660,Daikin Mono Split 12000 Btu FHA35A9 RZAG35B Klimaanlagen 3.5 kW FHA-A9 Sky Air Alpha A++ A+ Decke,CL3ST26109,2250.00,2250.00,EUR,,True,https://containersolutionscs.de/wp-content/uploads/2026/07/daikin-mono-split-12000-btu-fha35a9-rzag35b-klimaanlagen-35-kw-fha-a9-sky-air-alpha-a-a-decke.webp
