ID,Name,Brand,Category,Price,Currency,In stock,Images,Description chars,Description status,Duplicate group,Recommendation,Source URL
335,12 Fuß Lagercontainer mit Tür & Fenster,,Lagercontainer,2150.00,EUR,True,2,2227,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/12-fuss-lagercontainer-mit-tuer-und-fenster/
304,Gebrauchter 40 Fuß High Cube Container,,Gebrauchtcontainer,2400.00,EUR,True,5,1865,near-duplicate,near-1,Rewrite — largely shared copy with other products,https://gerachcontainer.com/product/gebrauchter-40-fuss-high-cube-container/
303,Gebrauchter 40 Fuß Container,,Gebrauchtcontainer,2200.00,EUR,True,4,1799,near-duplicate,near-1,Rewrite — largely shared copy with other products,https://gerachcontainer.com/product/gebrauchter-40-fuss-container/
302,Gebrauchter 20 Fuß Container,,Gebrauchtcontainer,1650.00,EUR,True,6,1863,near-duplicate,near-1,Rewrite — largely shared copy with other products,https://gerachcontainer.com/product/gebrauchter-20-fuss-container/
150,40 Fuß High Cube Container mit offener Seite,,"40 Fuß, Seecontainer",3850.00,EUR,True,3,2068,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/40-fuss-hc-container-mit-offener-seite/
142,40 Fuß High Cube Doppeltür-Seecontainer,,"40 Fuß, Seecontainer",3650.00,EUR,True,4,2018,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/40-fuss-hc-doppeltuer-seecontainer/
134,40 Fuß High Cube Seecontainer,,"40 Fuß, Seecontainer",3450.00,EUR,True,6,2204,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/40-fuss-high-cube-seecontainer/
126,40 Fuß Seecontainer,,"40 Fuß, Seecontainer",3200.00,EUR,True,4,2255,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/40-fuss-seecontainer/
118,20 Fuß High Cube Container mit offener Seite,,"20 Fuß, Seecontainer",3150.00,EUR,True,4,1996,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-hc-container-mit-offener-seite/
110,20 Fuß High Cube Doppeltür-Seecontainer,,"20 Fuß, Seecontainer",2850.00,EUR,True,3,1950,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-hc-doppeltuer-seecontainer/
102,20 Fuß High Cube Garagencontainer (Sektionaltor),,Garagencontainer,3150.00,EUR,True,3,1993,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-hc-garagencontainer-sektionaltor/
94,20 Fuß High Cube Seecontainer,,"20 Fuß, Seecontainer",2750.00,EUR,True,6,2227,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-high-cube-seecontainer/
86,20 Fuß Container mit offener Seite,,"20 Fuß, Seecontainer",2950.00,EUR,True,4,2092,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-container-mit-offener-seite/
78,20 Fuß Doppeltür-Seecontainer,,"20 Fuß, Seecontainer",2650.00,EUR,True,4,2021,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-doppeltuer-seecontainer/
70,20 Fuß Garagencontainer (Sektionaltor),,Garagencontainer,2950.00,EUR,True,3,2025,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-garagencontainer-sektionaltor/
62,10 Fuß High Cube Seecontainer,,"10 Fuß, Seecontainer",2050.00,EUR,True,4,2196,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/10-fuss-high-cube-seecontainer/
54,8 Fuß Seecontainer,,"8 Fuß, Seecontainer",1190.00,EUR,True,3,2093,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/8-fuss-seecontainer/
44,6 Fuß Seecontainer,,"6 Fuß, Seecontainer",990.00,EUR,True,2,2072,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/6-fuss-seecontainer/
36,20 Fuß Seecontainer,,"20 Fuß, Seecontainer",2450.00,EUR,True,6,2790,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/20-fuss-seecontainer/
28,10 Fuß Seecontainer,,"10 Fuß, Seecontainer",1890.00,EUR,True,6,2809,unique,,"Spot-check copy is original + accurate, then submit",https://gerachcontainer.com/product/10-fuss-seecontainer/
