platform,source_url,product_id,handle,url,title,brand,product_type,tags,variant_id,variant_title,sku,price,compare_at_price,currency,options,available,image
woocommerce,https://gerachcontainer.com,335,12-fuss-lagercontainer-mit-tuer-und-fenster,https://gerachcontainer.com/product/12-fuss-lagercontainer-mit-tuer-und-fenster/,12 Fuß Lagercontainer mit Tür & Fenster,,Lagercontainer,,335,12 Fuß Lagercontainer mit Tür & Fenster,GC-LA-12,2150.00,2150.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/12ftC-01-rotated-1.jpg
woocommerce,https://gerachcontainer.com,304,gebrauchter-40-fuss-high-cube-container,https://gerachcontainer.com/product/gebrauchter-40-fuss-high-cube-container/,Gebrauchter 40 Fuß High Cube Container,,Gebrauchtcontainer,,304,Gebrauchter 40 Fuß High Cube Container,GC-UC-40-HC,2400.00,2400.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/Gebrauchter-40-Fuss-High-Cube-Container-RAL-5005.jpg
woocommerce,https://gerachcontainer.com,303,gebrauchter-40-fuss-container,https://gerachcontainer.com/product/gebrauchter-40-fuss-container/,Gebrauchter 40 Fuß Container,,Gebrauchtcontainer,,303,Gebrauchter 40 Fuß Container,GC-UC-40,2200.00,2200.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/Gebrauchter-40-Fuss-Container-RAL-5013.jpg
woocommerce,https://gerachcontainer.com,302,gebrauchter-20-fuss-container,https://gerachcontainer.com/product/gebrauchter-20-fuss-container/,Gebrauchter 20 Fuß Container,,Gebrauchtcontainer,,302,Gebrauchter 20 Fuß Container,GC-UC-20,1650.00,1650.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/Gebrauchter-20-Fuss-Container-RAL-5010.png
woocommerce,https://gerachcontainer.com,150,40-fuss-hc-container-mit-offener-seite,https://gerachcontainer.com/product/40-fuss-hc-container-mit-offener-seite/,40 Fuß High Cube Container mit offener Seite,,"40 Fuß, Seecontainer",,150,40 Fuß High Cube Container mit offener Seite,GC-SC-40-HC-OS,3850.00,3850.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/40-Fuss-High-Cube-Container-mit-offener-Seite-RAL-7016.jpg
woocommerce,https://gerachcontainer.com,142,40-fuss-hc-doppeltuer-seecontainer,https://gerachcontainer.com/product/40-fuss-hc-doppeltuer-seecontainer/,40 Fuß High Cube Doppeltür-Seecontainer,,"40 Fuß, Seecontainer",,142,40 Fuß High Cube Doppeltür-Seecontainer,GC-SC-40-HC-DD,3650.00,3650.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/40-Fuss-High-Cube-Doppeltuer-Seecontainer-RAL-7016.jpg
woocommerce,https://gerachcontainer.com,134,40-fuss-high-cube-seecontainer,https://gerachcontainer.com/product/40-fuss-high-cube-seecontainer/,40 Fuß High Cube Seecontainer,,"40 Fuß, Seecontainer",,134,40 Fuß High Cube Seecontainer,GC-SC-40-HC,3450.00,3450.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/40-Fuss-HC-Seecontainer-RAL-7016-scaled.jpg
woocommerce,https://gerachcontainer.com,126,40-fuss-seecontainer,https://gerachcontainer.com/product/40-fuss-seecontainer/,40 Fuß Seecontainer,,"40 Fuß, Seecontainer",,126,40 Fuß Seecontainer,GC-SC-40,3200.00,3200.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/40-Fuss-Seecontainer-RAL-3009-1.jpg
woocommerce,https://gerachcontainer.com,118,20-fuss-hc-container-mit-offener-seite,https://gerachcontainer.com/product/20-fuss-hc-container-mit-offener-seite/,20 Fuß High Cube Container mit offener Seite,,"20 Fuß, Seecontainer",,118,20 Fuß High Cube Container mit offener Seite,GC-SC-20-HC-OS,3150.00,3150.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-High-Cube-Container-mit-offener-Seite-RAL-7035.jpg
woocommerce,https://gerachcontainer.com,110,20-fuss-hc-doppeltuer-seecontainer,https://gerachcontainer.com/product/20-fuss-hc-doppeltuer-seecontainer/,20 Fuß High Cube Doppeltür-Seecontainer,,"20 Fuß, Seecontainer",,110,20 Fuß High Cube Doppeltür-Seecontainer,GC-SC-20-HC-DD,2850.00,2850.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-High-Cube-Doppeltuer-Seecontainer-RAL-7035-scaled.jpg
woocommerce,https://gerachcontainer.com,102,20-fuss-hc-garagencontainer-sektionaltor,https://gerachcontainer.com/product/20-fuss-hc-garagencontainer-sektionaltor/,20 Fuß High Cube Garagencontainer (Sektionaltor),,Garagencontainer,,102,20 Fuß High Cube Garagencontainer (Sektionaltor),GC-GA-20-HC,3150.00,3150.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-High-Cube-Garagencontainer-mit-Sektionaltor-RAL-7035.jpg
woocommerce,https://gerachcontainer.com,94,20-fuss-high-cube-seecontainer,https://gerachcontainer.com/product/20-fuss-high-cube-seecontainer/,20 Fuß High Cube Seecontainer,,"20 Fuß, Seecontainer",,94,20 Fuß High Cube Seecontainer,GC-SC-20-HC,2750.00,2750.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-High-Cube-Seecontainer-RAL-6007.jpg
woocommerce,https://gerachcontainer.com,86,20-fuss-container-mit-offener-seite,https://gerachcontainer.com/product/20-fuss-container-mit-offener-seite/,20 Fuß Container mit offener Seite,,"20 Fuß, Seecontainer",,86,20 Fuß Container mit offener Seite,GC-SC-20-OS,2950.00,2950.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-Container-mit-offener-Seite-RAL-5010.jpg
woocommerce,https://gerachcontainer.com,78,20-fuss-doppeltuer-seecontainer,https://gerachcontainer.com/product/20-fuss-doppeltuer-seecontainer/,20 Fuß Doppeltür-Seecontainer,,"20 Fuß, Seecontainer",,78,20 Fuß Doppeltür-Seecontainer,GC-SC-20-DD,2650.00,2650.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-Doppeltuer-Seecontainer-RAL-7016-scaled.jpg
woocommerce,https://gerachcontainer.com,70,20-fuss-garagencontainer-sektionaltor,https://gerachcontainer.com/product/20-fuss-garagencontainer-sektionaltor/,20 Fuß Garagencontainer (Sektionaltor),,Garagencontainer,,70,20 Fuß Garagencontainer (Sektionaltor),GC-GA-20,2950.00,2950.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-Garagencontainer-mit-Sektionaltor-RAL-5010.jpg
woocommerce,https://gerachcontainer.com,62,10-fuss-high-cube-seecontainer,https://gerachcontainer.com/product/10-fuss-high-cube-seecontainer/,10 Fuß High Cube Seecontainer,,"10 Fuß, Seecontainer",,62,10 Fuß High Cube Seecontainer,GC-SC-10-HC,2050.00,2050.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/10-Fuss-High-Cube-Seecontainer-RAL-5010.jpg
woocommerce,https://gerachcontainer.com,54,8-fuss-seecontainer,https://gerachcontainer.com/product/8-fuss-seecontainer/,8 Fuß Seecontainer,,"8 Fuß, Seecontainer",,54,8 Fuß Seecontainer,GC-SC-08,1190.00,1190.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/1.jpg
woocommerce,https://gerachcontainer.com,44,6-fuss-seecontainer,https://gerachcontainer.com/product/6-fuss-seecontainer/,6 Fuß Seecontainer,,"6 Fuß, Seecontainer",,44,6 Fuß Seecontainer,GC-SC-06,990.00,990.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/6-Fuss-Seecontainer-RAL-7035.jpeg
woocommerce,https://gerachcontainer.com,36,20-fuss-seecontainer,https://gerachcontainer.com/product/20-fuss-seecontainer/,20 Fuß Seecontainer,,"20 Fuß, Seecontainer",,36,20 Fuß Seecontainer,GC-SC-20,2450.00,2450.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/20-Fuss-Seecontainer-RAL-7016.jpg
woocommerce,https://gerachcontainer.com,28,10-fuss-seecontainer,https://gerachcontainer.com/product/10-fuss-seecontainer/,10 Fuß Seecontainer,,"10 Fuß, Seecontainer",,28,10 Fuß Seecontainer,GC-SC-10,1890.00,1890.00,EUR,,True,https://gerachcontainer.com/wp-content/uploads/2026/07/10-Fuss-Seecontainer-RAL-5010.jpg
