ID,Name,Brand,Category,Price,Currency,In stock,Images,Description chars,Description status,Duplicate group,Recommendation,Source URL
22870,Container Pool 12m x 2.8m,,Poolcontainer,15800.00,EUR,True,7,1149,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/container-pool-12m-x-2-8m/
22861,"20-Fuß-Container-Schwimmbecken (6 x 2,4 Meter)",,Poolcontainer,7840.00,EUR,True,9,3192,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/20-fuss-container-schwimmbecken-6-x-24-meter/
22294,Mobiler Mini-Schwimmbadcontainer 5M25x2M55x1M26,,Poolcontainer,4900.00,EUR,True,11,1228,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/mobiler-mini-schwimmbadcontainer-5m25x2m55x1m26/
21790,"Schwimmbadbehälter aus Polypropylen 6,5 x 2,6 m",,Poolcontainer,5490.00,EUR,True,7,2204,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/schwimmbadbehaelter-aus-polypropylen-65-x-26-m/
21765,"Containerpool 6,11 x 2,5 m, gebrauchsfertig mit Dach, Premium-Paket",,Poolcontainer,8500.00,EUR,True,7,1661,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/containerpool-611-x-25-m-gebrauchsfertig-mit-dach-premium-paket/
21757,"6,2 m x 2,5 m großer Containerpool mit Wärmepumpe, Premium-Paket",,Poolcontainer,8900.00,EUR,True,7,1082,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/62-m-x-25-m-grosser-containerpool-mit-waermepumpe-premium-paket/
21749,"Containerschwimmbecken 6,2m x 2,5m gebrauchsfertig, Komfortpaket",,Poolcontainer,7460.00,EUR,True,7,749,near-duplicate,near-1,Rewrite — largely shared copy with other products,https://mepalconstruction.com/produit/containerschwimmbecken-62m-x-25m-gebrauchsfertig-komfortpaket/
21743,"Containerbecken 6,2 mx 2,5 m Jet Swim, Sport&Spa",,Poolcontainer,10500.00,EUR,True,5,1288,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/containerbecken-62-mx-25-m-jet-swim-sportspa/
21741,"6,5 m x 2,5 m großer Polypropylen-Pool mit 4 m Poolfenster",,Poolcontainer,11090.00,EUR,True,1,1433,unique,,"Spot-check copy is original + accurate, then submit",https://mepalconstruction.com/produit/65-m-x-25-m-grosser-polypropylen-pool-mit-4-m-poolfenster/
21736,"Container-Spa-Pool 3,0 x 2,5 m mit Whirlpool, Komfortpaket",,Poolcontainer,4660.00,EUR,True,4,965,near-duplicate,near-1,Rewrite — largely shared copy with other products,https://mepalconstruction.com/produit/container-spa-pool-30-x-25-m-mit-whirlpool-komfortpaket/
