ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
22870,simple,LOZKJIZC4,,Container Pool 12m x 2.8m,1,0,visible,"CubePool Premium ist eine hervorragende Kombination aus Komfort, Genuss und einzigartigem Design. Dank der Wasserheizung und der Innenbeleuchtung können Sie…","CubePool Premium ist eine hervorragende Kombination aus Komfort, Genuss und einzigartigem Design. Dank der Wasserheizung und der Innenbeleuchtung können Sie den Pool zu jeder Tageszeit genießen. Selbst in den etwas kühleren Monaten steht Ihnen dieser Komfort zur Verfügung! Filtersystem WPC-Verbundbelag Reinigungsset im Lieferumfang enthalten Innenbeleuchtung Wärmepumpe CubePool Premium verfügt neben einem Wasserheizsystem und einer Innenbeleuchtung auch über ein Wärmedämmsystem, das den Wärmeverlust reduziert. Ein aktives Filterbett verbessert die Wasserqualität. Lieferzeit: 07 – 15 Tage Aufbau: 1 Tag Ganzjährig nutzbar Sofort einsatzbereit Länge: 12,21 m Breite: 2,81 m Wasserstand: 1,27 m Außenhöhe: 1,57 m Basierend auf einem 40-Fuß-Schiffscontainer Am Tag der Lieferung sofort einsatzbereit Terrassendielen und Treppen aus Holz-Verbundwerkstoff (WPC) Filtersystem WPC-Verbundwerkstoff-Terrassendielen Reinigungsset Innenbeleuchtung Wärmepumpe Verfügbare RAL-Farben. Im Preis inbegriffen Kompletter und fertiggestellter Pool Komplette Elektro- und Wasserinstallation Fundament Montage vor Ort Anschluss an das Stromnetz (1- oder 3-phasig)",,,taxable,,1,,,0,0,,,,,1,,15800.00,22000.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/07/AF.jpg, https://mepalconstruction.com/wp-content/uploads/2026/07/AF.jpg, https://mepalconstruction.com/wp-content/uploads/2026/07/AF1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/07/AF2.jpg, https://mepalconstruction.com/wp-content/uploads/2026/07/AF3.jpg, https://mepalconstruction.com/wp-content/uploads/2026/07/AF4.jpg, https://mepalconstruction.com/wp-content/uploads/2026/07/AF5.jpg",,,,,,,,,0,,,,,,,,,
22861,simple,POIJVEE54E,,"20-Fuß-Container-Schwimmbecken (6 x 2,4 Meter)",1,0,visible,"Der 20-Fuß-Container-Pool ist eine ausgesprochen moderne Lösung für die Gartengestaltung, die industrielles Design, außergewöhnliche Robustheit und…","Der 20-Fuß-Container-Pool ist eine ausgesprochen moderne Lösung für die Gartengestaltung, die industrielles Design, außergewöhnliche Robustheit und Umweltfreundlichkeit vereint. Diese aus einem echten Seecontainer erster Wahl gefertigte Konstruktion aus Cortenstahl wird in ein hochwertiges Schwimmbecken verwandelt, das sowohl ästhetisch ansprechend als auch langlebig ist. Sein standardisiertes Format ermöglicht eine einfache Integration in die meisten Gärten und bietet gleichzeitig eine schnelle und unkomplizierte Alternative zu herkömmlichen eingegrabenen Schwimmbecken. Dank seiner extrem widerstandsfähigen, selbsttragenden Konstruktion bietet dieses Schwimmbecken absolute Flexibilität bei der Installation: Es kann oberirdisch, halb eingegraben oder vollständig eingegraben aufgestellt werden und passt sich so perfekt an die Beschaffenheit und das Gefälle Ihres Grundstücks an. Die Errichtung erfordert nur eine vereinfachte Bodenvorbereitung, in der Regel in Form einer Betonplatte oder von Stützpfosten, wodurch sich der Zeitaufwand und die Kosten für die Erdarbeiten erheblich reduzieren. Das Beckeninnere ist dank einer Beschichtung aus Polyester-Schalenbauweise oder einer hochwertigen Folie absolut wasserdicht und sorgfältig verarbeitet. Die Wärmedämmung ist in alle Wände integriert, um Wärmeverluste zu begrenzen und die Badesaison zu verlängern. Dieser Container-Pool verfügt über einen direkt in die Konstruktion integrierten Technikraum, der über eine wasserdichte Tür zugänglich ist. Dieser Raum beherbergt ein komplettes und leistungsstarkes Filtersystem, das stets kristallklares Wasser garantiert. Das äußere Design lässt sich individuell gestalten: Sie haben die Wahl zwischen dem rohen, industriellen Look des lackierten Originalstahls und einer eleganten Verkleidung aus Verbundholz oder Naturholz, ergänzt durch sichere Zugangstreppen. Technische Daten Produkttyp: Schwimmbecken aus Seecontainer (Upcycling) Größe: 20 Fuß Standard Außenkonstruktion: Cortenstahl mit hoher Korrosions- und Witterungsbeständigkeit Aufstellungsart: Aufstellbecken, halb eingegraben oder vollständig eingegraben Außenmaße: 6,06 m (Länge) x 2,44 m (Breite) x 1,30 m bis 1,50 m (Höhe je nach Konfiguration) Innenmaße (Becken): ca. 5,80 m (Länge) x 2,20 m (Breite) x 1,20 m (Nutzbare Tiefe) Wasservolumen: ca. 15 bis 16 m³ Innenauskleidung: Schale aus glasfaserverstärktem Polyesterharz oder verstärkte PVC-Folie 150/100 Isolierung: Hochdichter Polyurethanschaum an den Wänden und am Boden Filtersystem: Hochleistungspumpe und Sand- oder Kartuschenfilter (im integrierten Technikraum enthalten) Filterleistung: 10 bis 12 m³/h Hydraulische Ausstattung: 1 Skimmer, 2 Rücklaufdüsen, 1 Bodenablauf Beleuchtung: Weißer oder farbiger (RGB) LED-Unterwasserstrahler mit Fernbedienung Zugang: Integrierte Innentreppe (aus Stahl oder Polyester) und Außenleiter oder -treppe je nach Aufstellungsart Sicherheit: Entspricht den geltenden Sicherheitsnormen (Möglichkeit zum Einbau von Rollläden, Abdeckplanen oder Absperrungen) Leergewicht: Ca. 2.500 bis 3.000 kg (je nach Ausstattungsoptionen) Erforderliche Vorbereitungen: Ebene, bewehrte Betonplatte oder Stahlbetonbalken, eigene Stromversorgung",,,taxable,,1,,,0,0,,,,,1,,7840.00,9900.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/07/PSC1.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PSC7.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PSC6.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PSC5.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PSC4.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PSC3.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PSC2.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PSC1.png, https://mepalconstruction.com/wp-content/uploads/2026/07/PA4.jpg",,,,,,,,,0,,,,,,,,,
22294,simple,MEOIFUE,,Mobiler Mini-Schwimmbadcontainer 5M25x2M55x1M26,1,0,visible,"Mini-Pool-Container-Set mit integriertem Technikraum 5,25 m x 2,55 m x 1,26 m, Stahlkonstruktion, Poolumrandung und Randsteine. 15 cm dicke Betonplatte, in der…","Mini-Pool-Container-Set mit integriertem Technikraum 5,25 m x 2,55 m x 1,26 m, Stahlkonstruktion, Poolumrandung und Randsteine. 15 cm dicke Betonplatte, in der Mitte mit Bewehrung, 6 m x 3 m und (oder) 7 m x 3 m, falls Sie eine Wärmepumpe in der Nähe des Technikraums aufstellen möchten Transportabler Schwimmbadcontainer OHNE BAUGENEHMIGUNG 5,25 m x 2,55 m x 1,26 m, Innenmaße 4,15 m x 2,25 m (Aufstellversion). Leergewicht des Schwimmbads: 1150 kg. Schwimmbad ohne Installation, ausgestattet mit einem Filtersystem (1 Skimmer, 2 Druck- und Ablaufdüsen, 1 weißer LED-Scheinwerfer mit Fernbedienung, 1 Sandfilter Ø 400 mm – 6,5 m³/h mit einer Filterfeinheit von 40 bis 50 Mikrometern und 6-Wege-Ventil (Sand im Lieferumfang enthalten), Pumpenmotor 0,5 PS, 1 Schaltschrank). Die gesamte Technik wird im Technikraum untergebracht. Was die Folie betrifft, so wird eine handelsübliche Folie (hellgrau, 75/100) verwendet, die aus einer Hochleistungsmembran besteht, deren wasserseitige Oberfläche beschichtet ist und die Widerstandsfähigkeit sowie Schutz vor Alterung durch UV-Strahlung, vor Abrieb und Kratzern, vor fleckbildenden Stoffen, vor Mikroorganismen sowie vor Beschädigungen und Verschmutzungen auf der Wasserseite bietet.",,,taxable,,1,,,0,0,,,,,1,,4900.00,7990.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_9f3cc0cf23564f778de99f3002b75a9dmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_46a13a434aed4137bc6ccd63abff3f92mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_fd0a3e6b2936401a842354212e6a10b8mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_ead7465e8ac6460e957d6cb2dbdb814cmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_90f4abc07b5a49cab3ac5e410572d8cdmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_ea3758993fe84fb3a56bc6d61ec9b717mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_a793c2fa9e7241b7b505ea96eab507famv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_cd7fff998f674c999f5d55099a15c7demv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_32fa9c34d821458ab20097b3c0a27f36mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_2f9021e90ebf436da71d0676b87da663mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_7c2abdc9a52d44ceb5acd4120732c98bmv2-1.jpg",,,,,,,,,0,,,,,,,,,
21790,simple,RPORHE,,"Schwimmbadbehälter aus Polypropylen 6,5 x 2,6 m",1,0,visible,Elite Piscine Sport & Spa ist ein Aufstellpool der neuen Generation. Er besteht aus einem Becken aus Polypropylen und einem Stahlrahmen. Dadurch ist er äußerst…,"Elite Piscine Sport & Spa ist ein Aufstellpool der neuen Generation. Er besteht aus einem Becken aus Polypropylen und einem Stahlrahmen. Dadurch ist er äußerst langlebig. Dank eines regulierten Durchflusssystems erhalten Sie einen Sportpool mit Gegenstromanlage, der sich in wenigen Sekunden in einen Whirlpool mit Hydromassage verwandeln lässt. Filtersystem Innenbeleuchtung Wärmepumpe Schwimmbecken aus Polypropylen Isolierung des Schwimmbeckens Jet-Swim Elite Piscine Sport & Spa ist mit einem Jet-Swim-System ausgestattet. Auf Knopfdruck tauchen Sie in die Welt des professionellen Schwimmtrainings ein. Zubehör Filtersystem, Wärmepumpe, Jet-Swim Aufbau: 1 Tag Der Sport & Spa-Pool aus Polypropylen ist ein Aufstellpool der neuen Generation. Er besteht aus einem Becken aus Polypropylen und einem Stahlgerüst. Dadurch ist er äußerst widerstandsfähig. Dank eines Systems mit regulierbarer Durchflussmenge verfügen Sie über einen Sportpool mit Gegenstromanlage, der sich in wenigen Sekunden in einen Whirlpool mit Hydromassage verwandeln lässt. Filtersystem Innenbeleuchtung Wärmepumpe Schwimmbecken aus Polypropylen Isolierung des Schwimmbeckens Strömungsschwimmen Der Sport&Spa-Pool aus Polypropylen verfügt über ein Strömungsschwimmsystem. Mit einem einfachen Knopfdruck tauchen Sie in die Welt des professionellen Schwimmtrainings ein. Spezifikationen Länge: 6,50 Breite: 2,55 Wasserstand: 1,25 Außenhöhe: 1,38 Basierend auf einer Stahlkonstruktion und einem Becken aus Polypropylen Am Tag der Lieferung sofort einsatzbereit Terrassen und Treppen aus rutschfestem Polypropylen Filtersystem Innenbeleuchtung Wärmepumpe Verfügbare Farbe: RAL 7035 (Hellgrau) RAL 7040 (Fenstergrau) RAL 7016 (Anthrazitgrau) RAL 7024 (Graphitgrau) RAL 9005 (Tiefschwarz) RAL 9011 (Graphitschwarz) RAL 6005 (Moosgrün) RAL 6007 (Flaschengrün) RAL 5002 (Ultramarinblau), RAL 5010 (Enzianblau) RAL 5015 (Himmelblau) RAL 9010 (Reinweiß) RAL 9016 (Verkehrsweiß) RAL 3000 (Feuerrot) RAL 3003 (Rubinrot) RAL 3020 (Verkehrsrot) – Gegenstromanlage Im Preis inbegriffen Kompletter und fertiggestellter Pool Komplette Elektro- und Wasserinstallation Montage vor Ort Fundament Anschluss an eine 1- oder 3-phasige Elektroinstallation",,,taxable,,1,,,0,0,,,,,1,,5490.00,7990.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_075e876cfc0d4ec2a10dbb3643ce6dd9mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_def6429c59e94ef3a6d47d08cc5d585emv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_02460e77878f43eabae72ba1f93de1c1mv2-1.webp, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_5cee51439bb84b9ea10699c0ed563acamv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_8a9cf919d3bc454ca9c2f3ace38bffdbmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_6ab96c4a905d4073ae32a788278cfc04mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_c12dbc70741343caa131df3a9710a29bmv2-1.jpg",,,,,,,,,0,,,,,,,,,
21765,simple,OITR258,,"Containerpool 6,11 x 2,5 m, gebrauchsfertig mit Dach, Premium-Paket",1,0,visible,"Der Premium-Containerpool ist eine hervorragende Kombination aus Komfort, Vergnügen und einzigartigem Design. Dank der Wasserheizung und der Innenbeleuchtung…","Der Premium-Containerpool ist eine hervorragende Kombination aus Komfort, Vergnügen und einzigartigem Design. Dank der Wasserheizung und der Innenbeleuchtung können Sie den Pool zu jeder Tageszeit genießen. Selbst in den etwas kühleren Monaten steht Ihnen dieser Komfort zur Verfügung! Fertigpool 6,11 m x 2,5 m, einbaufertig mit Überdachung, Premium-Paket Der Premium-Fertigpool ist eine hervorragende Kombination aus Komfort, Badespaß und einzigartigem Design. Dank der Wasserheizung und der Innenbeleuchtung können Sie den Pool zu jeder Tageszeit genießen. Selbst in den etwas kühleren Monaten steht Ihnen dieser Komfort zur Verfügung! Filtersystem WPC-Verbundbelag Reinigungsset im Lieferumfang enthalten Innenbeleuchtung Wärmepumpe Schiebe-Poolsüberdachung aus Plexiglas Der Premium-Containerpool verfügt zudem über ein Wärmedämmsystem, das Wärmeverluste reduziert, sowie über eine Wasserheizung und eine Innenbeleuchtung. Ein aktives Filterbett verbessert die Wasserqualität. Technische Daten Länge: 6,2 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Fläche: 15,275 m² Wasserfläche: 15,3 m² Basierend auf einem 20-Fuß-Seecontainer Am Tag der Lieferung sofort einsatzbereit Terrasse und Treppen aus Holz-Kunststoff-Verbundwerkstoff (WPC) Filtersystem WPC-Verbundwerkstoff-Belag Reinigungsset Innenbeleuchtung Wärmepumpe Nur wenige Farben verfügbar Schiebe-Poolsüberdachung aus Plexiglas Details Im Preis inbegriffen Kompletter und fertiggestellter Pool Komplette Elektro- und Wasserinstallation Nicht im Preis inbegriffen Kran zum Abheben des Pools vom LKW Transport Fundament Montage vor Ort Anschluss an eine 1- oder 3-phasige Elektroinstallation",,,taxable,,1,,,0,0,,,,,1,,8500.00,10390.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_8606ec5ed1374d1b9dfa8b238072ad26mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_0a94801b189e47c8aae6bae3d4ceb852mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_081521b019f145a6aceb8be65bbaba9amv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_1236d3306ce742c8b1fcf05a15f11aa4mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_07b534a1f1fc475f83342684cf4cd16cmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_d9adfcf2b9284906ac59e857953b506bmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_1c8d594cd9014f5993d53c2ecee2844cmv2-1.jpg",,,,,,,,,0,,,,,,,,,
21757,simple,5TJ9RHKY,,"6,2 m x 2,5 m großer Containerpool mit Wärmepumpe, Premium-Paket",1,0,visible,"Technische Daten Länge: 6,11 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Basierend auf einem 20-Fuß-Seecontainer Am Tag der Lieferung sofort…","Technische Daten Länge: 6,11 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Basierend auf einem 20-Fuß-Seecontainer Am Tag der Lieferung sofort einsatzbereit Terrasse und Treppen aus Holz-Kunststoff-Verbundwerkstoff (WPC) Filtersystem Terrasse aus Holz-Kunststoff-Verbundwerkstoff (WPC) Reinigungsset Innenbeleuchtung Wärmepumpe Nur wenige Farben verfügbar Der Premium-Containerpool mit den Maßen 6,2 m x 2,5 m ist eine hervorragende Kombination aus Komfort, Vergnügen und einzigartigem Design. Dank der Wasserheizung und der Innenbeleuchtung können Sie den Pool zu jeder Tageszeit genießen. Selbst in den etwas kühleren Monaten steht Ihnen dieser Komfort zur Verfügung! Filtersystem WPC-Verbundstoff-Terrasse Reinigungsset im Lieferumfang enthalten Innenbeleuchtung Wärmepumpe Der 6,2 m x 2,5 m große Premium-Containerpool verfügt zusätzlich zu einer Wasserheizung und einer Innenbeleuchtung über ein Wärmedämmsystem, das Wärmeverluste reduziert. Ein aktives Filterbett verbessert die Wasserqualität. Lieferzeit: 15–20 Tage Montage: 1 Tag Ganzjährig Schlüsselfertige Lösung",,,taxable,,1,,,0,0,,,,,1,,8900.00,10100.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_4fae47c211484f18933a5b9a468d5784mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_799af7a06bae4de386f137c573465e57mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_312a7a7a86e94b5ca9f5bcece6fc7603mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_7078cbb371c14b1897bc709ace687418mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_1d9ae579601b48d681be979b624d965fmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_002834094e5c4a8cb663062c9085e486mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_906da5986e4344bda24bde9a41df976dmv2-1.jpg",,,,,,,,,0,,,,,,,,,
21749,simple,59RH18E,,"Containerschwimmbecken 6,2m x 2,5m gebrauchsfertig, Komfortpaket",1,0,visible,"Technische Daten Länge: 6,11 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Basierend auf einem 20-Fuß-Seecontainer Am Tag der Lieferung sofort…","Technische Daten Länge: 6,11 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Basierend auf einem 20-Fuß-Seecontainer Am Tag der Lieferung sofort einsatzbereit Terrasse und Treppen aus Holz-Kunststoff-Verbundwerkstoff (WPC) Filtersystem Nur wenige Farben verfügbar Der Container-Pool 6,2 m x 2,5 m im Komfort-Paket ist die perfekte Lösung für alle, die einen Pool genießen möchten, ohne dass Bauarbeiten anfallen! Filtersystem Terrasse aus WPC-Verbundwerkstoff Reinigungsset im Lieferumfang enthalten Sein einzigartiges industrielles Design in einer unserer speziell entwickelten Ausführungen passt sowohl in einen kleinen Garten als auch in einen größeren Außenbereich. Lieferzeit: 15–20 Tage Montage: 1 Tag Ganzjährig Schlüsselfertige Lösung",,,taxable,,1,,,0,0,,,,,1,,7460.00,10000.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_f8be4805699d4f398f283a2c45aac77cmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_4754fc3183e346b19615b39efd09d172mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_cd3a7b83fb2f447788e000be05002056mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_8379c06c1af84a8b9776dfbc3fb74fd0mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_b1bb15229d244e249973bd8a5bbab42emv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_db1d2e6776e64d9d82670203e43102b5mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_7a20a927e98e4078ac6c81d10b66b687mv2-1.jpg",,,,,,,,,0,,,,,,,,,
21743,simple,48TJ1RHE,,"Containerbecken 6,2 mx 2,5 m Jet Swim, Sport&Spa",1,0,visible,"Technische Daten Länge: 6,11 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Basierend auf einem 20-Fuß-Seecontainer Am Tag der Lieferung sofort…","Technische Daten Länge: 6,11 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Basierend auf einem 20-Fuß-Seecontainer Am Tag der Lieferung sofort einsatzbereit Terrasse und Treppen aus Holz-Kunststoff-Verbundwerkstoff (WPC) Filtersystem Terrasse aus Holz-Kunststoff-Verbundwerkstoff (WPC) Reinigungsset Innenbeleuchtung Wärmepumpe Nur wenige Farben verfügbar Strömungskanal Der 6,2 m x 2,5 m große Container-Pool mit Jet-Swim-Paket von Sport&Spa ist das perfekte Produkt für besonders anspruchsvolle Kunden. Dank eines Systems mit regulierbarer Durchflussmenge verfügen Sie über einen Sportpool mit Gegenstromanlage, der sich in wenigen Sekunden in einen Whirlpool mit Hydromassage verwandeln lässt. Filtersystem Terrasse aus WPC-Verbundwerkstoff Reinigungsset im Lieferumfang enthalten Innenbeleuchtung Wärmepumpe Jet-Schwimmen Der Container-Pool Sport&Spa verfügt über ein Jet-Schwimmsystem. Mit einem einfachen Knopfdruck tauchen Sie in die Welt des professionellen Schwimmens ein. Abgesehen vom Durchflussregelsystem verfügt der Sport & Spa-Containerpool über alle Funktionen des Premium-Containerpools. Mit dem Sport & Spa-Containerpool können Sie das Containerpool-Erlebnis in vollen Zügen genießen! Lieferzeit: 15 bis 20 Tage Montage: 1 Tag Ganzjährig Schlüsselfertige Lösung",,,taxable,,1,,,0,0,,,,,1,,,10500.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_4ea950fb228f41f09a17fe2db3f52c22mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_c5518c116be842fa98417dc87d420ba6mv2-1.jpeg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_cf5680da09f841bb9d4beae5bfcc0fdfmv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_94a6d8c60ea44ffbb9837833d8a2c964mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_e33c7c752719490d84f2edab802ecf80mv2-1.jpg",,,,,,,,,0,,,,,,,,,
21741,simple,UL48KYTE,,"6,5 m x 2,5 m großer Polypropylen-Pool mit 4 m Poolfenster",1,0,visible,"Technische Daten Länge: 6,50 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,30 m Auf einer Stahlkonstruktion und einem Becken aus Polypropylen basierend Am…","Technische Daten Länge: 6,50 m Breite: 2,55 m Wasserstand: 1,15 m Außenhöhe: 1,30 m Auf einer Stahlkonstruktion und einem Becken aus Polypropylen basierend Am Tag der Lieferung sofort einsatzbereit Terrassen und Treppen aus rutschfestem Polypropylen Filtersystem Innenbeleuchtung Wärmepumpe Nur wenige Farben verfügbar Strömungskanal Automatisches Schiebedach aus Polycarbonat mit zusätzlichen Türen und Fernbedienung Abmessungen des Daches: 8,4 m lang, 5,5 m breit, 2,8 m hoch Der ElitePool Sport & Spa aus Polypropylen ist ein Aufstellpool der neuen Generation. Er ist äußerst widerstandsfähig und besteht aus einem Becken aus Polypropylen sowie einer Stahlkonstruktion. Dank eines Systems mit regulierbarer Durchflussmenge verfügen Sie über einen Sportpool mit Gegenstromanlage, der sich in wenigen Sekunden in einen Whirlpool mit Hydromassage verwandeln lässt. Die Abmessungen können an die Bedürfnisse des Kunden angepasst werden. Schwimmbadfenster 4,0 m x 1,0 m Filtersystem Innenbeleuchtung Wärmepumpe Schwimmbecken aus Polypropylen Schwimmbeckenisolierung Strömungsschwimmen Automatisches Schiebedach aus Polycarbonat mit zusätzlichen Türen und Fernbedienung Pflegefreie WPC-Terrasse Polypropylen-Pool ElitePool Sport&Spa verfügt über ein Strömungsschwimmsystem. Mit einem einfachen Klick tauchen Sie in die Welt des professionellen Schwimmens ein. Lieferzeit: 15 bis 20 Tage Montage: 1 Tag Ganzjährig Schlüsselfertige Lösung",,,taxable,,1,,,0,0,,,,,1,,11090.00,15500.00,Poolcontainer,,,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_c7e9d39502924f9581a96332e4e8c0d9mv2-1.jpg,,,,,,,,,0,,,,,,,,,
21736,simple,T48R8EZ6,,"Container-Spa-Pool 3,0 x 2,5 m mit Whirlpool, Komfortpaket",1,0,visible,"Technische Daten Länge: 3,00 m Breite: 2,50 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Auf Basis eines Seecontainers Am Tag der Lieferung sofort einsatzbereit…","Technische Daten Länge: 3,00 m Breite: 2,50 m Wasserstand: 1,15 m Außenhöhe: 1,37 m Auf Basis eines Seecontainers Am Tag der Lieferung sofort einsatzbereit Terrasse und Treppen aus Holz-Kunststoff-Verbundwerkstoff (WPC) Filtersystem Nur wenige Farben verfügbar Unser kleinstes Poolmodell. Perfekt für Kinder oder kleine Feiern in Ihrem eigenen Garten. Einfach zu transportieren und zu pflegen. Eine hervorragende Möglichkeit, Ihren eigenen Pool-Spa zu schaffen, oder eine größere Alternative zu einem Whirlpool. Der Comfort-Spa-Pool ist die perfekte Lösung für alle, die einen Pool genießen möchten, ohne dass Bauarbeiten anfallen! Filtersystem Terrasse aus WPC-Verbundwerkstoff Reinigungsset im Lieferumfang enthalten Sein einzigartiges industrielles Design in einer unserer speziell entwickelten Ausführungen passt sowohl in einen kleinen Garten als auch in einen größeren Außenbereich. Lieferzeit: 15 bis 20 Tage Montage: 1 Tag Ganzjährig Schlüsselfertige Lösung",,,taxable,,1,,,0,0,,,,,1,,4660.00,5000.00,Poolcontainer,,,"https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_555009aaf7664509b620e67c300f20demv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_2e1e0233021b4afe8779dde1318e0d31mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_d1b25b8cbb0141c682f2c2518495ef09mv2-1.jpg, https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_229f6e99f3bc4bc6af053984bc6c0c76mv2-1.jpg",,,,,,,,,0,,,,,,,,,
