platform,source_url,product_id,handle,url,title,brand,product_type,tags,variant_id,variant_title,sku,price,compare_at_price,currency,options,available,image
woocommerce,https://mepalconstruction.com,22870,container-pool-12m-x-2-8m,https://mepalconstruction.com/produit/container-pool-12m-x-2-8m/,Container Pool 12m x 2.8m,,Poolcontainer,,22870,Container Pool 12m x 2.8m,LOZKJIZC4,15800.00,22000.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/07/AF.jpg
woocommerce,https://mepalconstruction.com,22861,20-fuss-container-schwimmbecken-6-x-24-meter,https://mepalconstruction.com/produit/20-fuss-container-schwimmbecken-6-x-24-meter/,"20-Fuß-Container-Schwimmbecken (6 x 2,4 Meter)",,Poolcontainer,,22861,"20-Fuß-Container-Schwimmbecken (6 x 2,4 Meter)",POIJVEE54E,7840.00,9900.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/07/PSC1.png
woocommerce,https://mepalconstruction.com,22294,mobiler-mini-schwimmbadcontainer-5m25x2m55x1m26,https://mepalconstruction.com/produit/mobiler-mini-schwimmbadcontainer-5m25x2m55x1m26/,Mobiler Mini-Schwimmbadcontainer 5M25x2M55x1M26,,Poolcontainer,,22294,Mobiler Mini-Schwimmbadcontainer 5M25x2M55x1M26,MEOIFUE,4900.00,7990.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_9f3cc0cf23564f778de99f3002b75a9dmv2-1.jpg
woocommerce,https://mepalconstruction.com,21790,schwimmbadbehaelter-aus-polypropylen-65-x-26-m,https://mepalconstruction.com/produit/schwimmbadbehaelter-aus-polypropylen-65-x-26-m/,"Schwimmbadbehälter aus Polypropylen 6,5 x 2,6 m",,Poolcontainer,,21790,"Schwimmbadbehälter aus Polypropylen 6,5 x 2,6 m",RPORHE,5490.00,7990.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_075e876cfc0d4ec2a10dbb3643ce6dd9mv2-1.jpg
woocommerce,https://mepalconstruction.com,21765,containerpool-611-x-25-m-gebrauchsfertig-mit-dach-premium-paket,https://mepalconstruction.com/produit/containerpool-611-x-25-m-gebrauchsfertig-mit-dach-premium-paket/,"Containerpool 6,11 x 2,5 m, gebrauchsfertig mit Dach, Premium-Paket",,Poolcontainer,,21765,"Containerpool 6,11 x 2,5 m, gebrauchsfertig mit Dach, Premium-Paket",OITR258,8500.00,10390.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_8606ec5ed1374d1b9dfa8b238072ad26mv2-1.jpg
woocommerce,https://mepalconstruction.com,21757,62-m-x-25-m-grosser-containerpool-mit-waermepumpe-premium-paket,https://mepalconstruction.com/produit/62-m-x-25-m-grosser-containerpool-mit-waermepumpe-premium-paket/,"6,2 m x 2,5 m großer Containerpool mit Wärmepumpe, Premium-Paket",,Poolcontainer,,21757,"6,2 m x 2,5 m großer Containerpool mit Wärmepumpe, Premium-Paket",5TJ9RHKY,8900.00,10100.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_4fae47c211484f18933a5b9a468d5784mv2-1.jpg
woocommerce,https://mepalconstruction.com,21749,containerschwimmbecken-62m-x-25m-gebrauchsfertig-komfortpaket,https://mepalconstruction.com/produit/containerschwimmbecken-62m-x-25m-gebrauchsfertig-komfortpaket/,"Containerschwimmbecken 6,2m x 2,5m gebrauchsfertig, Komfortpaket",,Poolcontainer,,21749,"Containerschwimmbecken 6,2m x 2,5m gebrauchsfertig, Komfortpaket",59RH18E,7460.00,10000.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_f8be4805699d4f398f283a2c45aac77cmv2-1.jpg
woocommerce,https://mepalconstruction.com,21743,containerbecken-62-mx-25-m-jet-swim-sportspa,https://mepalconstruction.com/produit/containerbecken-62-mx-25-m-jet-swim-sportspa/,"Containerbecken 6,2 mx 2,5 m Jet Swim, Sport&Spa",,Poolcontainer,,21743,"Containerbecken 6,2 mx 2,5 m Jet Swim, Sport&Spa",48TJ1RHE,10500.00,10500.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_4ea950fb228f41f09a17fe2db3f52c22mv2-1.jpg
woocommerce,https://mepalconstruction.com,21741,65-m-x-25-m-grosser-polypropylen-pool-mit-4-m-poolfenster,https://mepalconstruction.com/produit/65-m-x-25-m-grosser-polypropylen-pool-mit-4-m-poolfenster/,"6,5 m x 2,5 m großer Polypropylen-Pool mit 4 m Poolfenster",,Poolcontainer,,21741,"6,5 m x 2,5 m großer Polypropylen-Pool mit 4 m Poolfenster",UL48KYTE,11090.00,15500.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_c7e9d39502924f9581a96332e4e8c0d9mv2-1.jpg
woocommerce,https://mepalconstruction.com,21736,container-spa-pool-30-x-25-m-mit-whirlpool-komfortpaket,https://mepalconstruction.com/produit/container-spa-pool-30-x-25-m-mit-whirlpool-komfortpaket/,"Container-Spa-Pool 3,0 x 2,5 m mit Whirlpool, Komfortpaket",,Poolcontainer,,21736,"Container-Spa-Pool 3,0 x 2,5 m mit Whirlpool, Komfortpaket",T48R8EZ6,4660.00,5000.00,EUR,,True,https://mepalconstruction.com/wp-content/uploads/2026/05/130d33_555009aaf7664509b620e67c300f20demv2-1.jpg
