category,brand,model,supplier,province,price_usd_low,price_usd_high,moq,moq_unit,notes
Portable,Good Seller,5V USB lithium battery portable single-serve,Good Seller Co. Ltd,Zhejiang,16.50,18.00,1000,pcs,
Portable,Woma,Portable mini automatic espresso capsule compatible,Lu'an Woma Import and Export Co. Ltd,Anhui,15.50,18.00,10,pcs,lowest published price in dataset
Portable,Xinyuan,TK03 portable electric espresso,Zhongshan Xinyuan Silicone Rubber Co. Ltd,Guangdong,40.00,55.00,1,pc,
Pod/Drip,Ultron,Automatic 0.8L coffee maker for pods,Ultron Technology (Foshan) Co. Ltd,Guangdong,48.89,51.33,500,pcs,
Pod/Drip,Sinolink,12-cup automatic grind-and-brew programmable drip,Ningbo Sinolink Appliance Co. Ltd,Zhejiang,55.00,55.00,500,pcs,
Pod/Drip,Liyyou,Professional commercial fully automatic,Ningbo Liyyou Group Co. Ltd,Zhejiang,58.00,59.00,200,pcs,
Pod/Drip,Yicheng,Commercial cappuccino capsule machine,Ningbo Yicheng Technology Co. Ltd,Zhejiang,80.00,80.00,2000,pcs,
Pod/Drip,Careforcafe,Auto-filling Americano 1.5gal digital drip brewer,Guangdong Careforcafe Coffee Equipment Co. Ltd,Guangdong,379.00,579.00,5,pcs,
Semi-auto espresso,Excellence Group,Italian semi-auto espresso with grinder,Guangdong Excellence Group Intelligent Technology Co. Ltd,Guangdong,64.00,66.00,500,pcs,
Semi-auto espresso,Mielux,3-in-1 grinder + espresso + steam,Jiangmen Mielux Intelligent and Technology Co. Ltd,Guangdong,98.00,98.00,350,pcs,
Semi-auto espresso,Excellence Group,Electric semi-auto espresso grinder home,Guangdong Excellence Group Intelligent Technology Co. Ltd,Guangdong,102.00,108.00,500,pcs,
Semi-auto espresso,Galileo,Countertop semi-auto espresso steam wand,Hangzhou Galileo Technology Co. Ltd,Zhejiang,148.00,198.00,50,pcs,
Semi-auto espresso,Kaesid,Automatic espresso with adjustable grinder,Kaesid Kitchen Equipment (Shenzhen) Co. Ltd,Guangdong,50.00,220.00,1,pc,wide range - confirm spec
Semi-auto espresso,Gemilai,CRM3605 / CRM3200 series,Guangdong Gemilai Intelligent Technology Co. Ltd,Guangdong,,,,,quote on request; 800W 1.7L 15bar 58mm PID
Semi-auto espresso,Careforcafe,Triple boiler 2-group 9bar rotary pump,Guangdong Careforcafe Coffee Equipment Co. Ltd,Guangdong,749.00,1299.00,10,pcs,
